LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,atraso_medio,media_faturas,media_pagamento,default
20000,2,2,1,24,-0.3333333333333333,1284.0,114.83333333333333,1
120000,2,2,2,26,0.5,2846.1666666666665,833.3333333333334,1
90000,2,2,2,34,0.0,16942.166666666668,1836.3333333333333,0
50000,2,2,1,37,0.0,38555.666666666664,1398.0,0
50000,1,2,1,57,-0.3333333333333333,18223.166666666668,9841.5,0
50000,1,1,2,37,0.0,39685.666666666664,1295.3333333333333,0
500000,1,1,2,29,0.0,454099.1666666667,30126.5,0
100000,2,2,2,23,-0.5,2247.6666666666665,798.5,0
140000,2,3,1,28,0.3333333333333333,10868.666666666666,1126.8333333333333,0
20000,1,3,2,35,-1.6666666666666667,4486.5,2354.8333333333335,0
200000,2,3,2,34,0.16666666666666666,5744.5,1078.6666666666667,0
260000,2,1,2,51,-0.5,14728.166666666666,11051.333333333334,0
630000,2,2,2,41,-0.8333333333333334,6834.5,3895.0,0
70000,1,2,2,30,1.1666666666666667,56447.5,1783.3333333333333,1
250000,1,1,2,29,0.0,62265.166666666664,3000.0,0
50000,2,3,3,23,0.5,32736.0,1033.3333333333333,0
20000,1,1,2,24,1.3333333333333333,17693.5,1058.3333333333333,1
320000,1,1,1,49,-0.5,161002.33333333334,60316.166666666664,0
360000,2,1,1,49,-1.5,0.0,0.0,0
180000,2,1,2,29,-1.5,0.0,0.0,0
130000,2,3,2,39,-0.16666666666666666,20647.166666666668,7038.5,0
120000,2,2,1,39,-1.0,316.0,263.3333333333333,1
70000,2,2,2,26,1.3333333333333333,44245.833333333336,1835.0,1
450000,2,1,1,40,-2.0,4494.166666666667,3764.8333333333335,1
90000,1,1,2,23,-0.16666666666666666,5310.666666666667,2733.3333333333335,0
50000,1,3,2,23,0.0,35715.833333333336,1315.1666666666667,0
60000,1,1,2,27,-0.8333333333333334,-65.66666666666667,416.6666666666667,1
50000,2,3,2,30,0.0,18711.333333333332,1185.3333333333333,0
50000,2,3,1,47,-1.0,6701.333333333333,6594.5,0
50000,1,1,2,26,0.0,16180.333333333334,1100.0,0
230000,2,1,2,27,-1.0,18957.666666666668,16248.166666666666,0
50000,1,2,2,33,0.3333333333333333,25311.5,1155.6666666666667,1
100000,1,1,2,32,0.0,82539.5,3124.0,0
500000,2,2,1,54,-2.0,20957.333333333332,26417.0,0
500000,1,1,1,58,-2.0,9719.666666666666,7570.833333333333,0
160000,1,1,2,30,-1.5,4218.666666666667,380.0,0
280000,1,2,1,40,0.0,178329.5,6987.166666666667,0
60000,2,2,2,22,-0.16666666666666666,5379.833333333333,8891.5,0
50000,1,1,2,25,-1.1666666666666667,130.0,130.0,1
280000,1,1,2,31,-0.3333333333333333,8607.166666666666,6226.166666666667,0
360000,1,1,2,33,0.0,275125.1666666667,40640.0,0
70000,2,1,2,25,0.0,65476.0,3223.6666666666665,0
10000,1,2,2,22,0.0,3793.5,1204.5,0
140000,2,2,1,37,0.0,64189.0,3333.3333333333335,0
40000,2,1,2,30,0.3333333333333333,24530.833333333332,2166.6666666666665,0
210000,1,1,2,29,-2.0,0.0,0.0,1
20000,2,1,2,22,0.16666666666666666,13221.333333333334,3345.8333333333335,1
150000,2,5,2,46,-0.5,1639.5,363.8333333333333,1
380000,1,2,2,32,-1.0,19135.833333333332,15555.333333333334,0
20000,1,1,2,24,0.0,19301.666666666668,1041.0,0
70000,1,3,2,42,1.5,38168.666666666664,1350.0,1
100000,2,3,3,43,0.0,44197.5,1601.0,0
310000,2,2,1,49,-2.0,7354.166666666667,5111.333333333333,0
180000,2,1,2,25,0.5,43191.833333333336,1707.6666666666667,0
150000,2,1,2,29,0.3333333333333333,29458.5,2144.5,0
500000,2,1,1,45,-2.0,1398.0,1080.5,0
180000,2,3,1,34,-0.5,9234.0,4863.166666666667,0
180000,2,2,1,34,0.0,158727.0,5677.0,0
200000,2,1,2,34,1.6666666666666667,1124.5,316.6666666666667,0
400000,2,2,1,29,0.0,380690.0,18171.5,0
500000,2,3,1,28,0.0,18283.166666666668,1469.3333333333333,1
70000,1,2,1,39,-0.16666666666666666,40707.0,2020.0,0
50000,1,1,2,29,2.0,26279.0,1020.8333333333334,1
50000,2,2,1,46,-1.0,9647.333333333334,166.66666666666666,1
130000,2,2,1,51,-1.3333333333333333,408.6666666666667,392.1666666666667,0
200000,1,1,1,57,-0.5,78272.66666666667,1587.0,1
10000,1,2,1,56,1.0,3808.6666666666665,501.6666666666667,1
210000,2,1,2,30,-0.5,1431.5,1533.0,0
130000,2,3,2,29,-0.5,1316.8333333333333,6896.5,0
20000,1,5,2,22,0.3333333333333333,14721.0,616.6666666666666,0
80000,1,1,2,31,-1.0,390.0,325.0,0
320000,1,2,2,29,2.0,60358.666666666664,2300.0,1
200000,2,2,1,32,-0.5,4404.166666666667,3252.0,0
290000,2,1,2,37,-0.8333333333333334,919.0,919.0,0
340000,1,1,2,32,-1.0,23699.833333333332,23666.166666666668,0
20000,1,2,2,24,0.3333333333333333,16888.0,931.6666666666666,0
50000,1,3,2,25,-0.16666666666666666,24234.333333333332,1059.6666666666667,0
300000,2,1,1,45,-1.0,291.0,291.0,0
30000,2,2,2,22,0.0,24864.333333333332,1401.8333333333333,1
240000,2,2,2,44,-1.5,0.0,0.0,1
470000,2,3,3,33,0.0,102470.5,3654.3333333333335,0
360000,2,1,2,26,-0.16666666666666666,49150.5,26892.5,0
60000,1,3,2,30,0.0,23927.666666666668,890.8333333333334,1
400000,2,2,1,44,0.3333333333333333,116825.33333333333,3792.1666666666665,0
50000,2,3,2,49,0.0,29583.166666666668,1008.6666666666666,0
160000,1,2,2,33,0.0,111168.83333333333,16957.833333333332,0
360000,2,1,1,45,-0.3333333333333333,585.0,390.0,1
160000,2,2,2,32,-0.16666666666666666,5270.5,1369.3333333333333,0
130000,2,1,1,35,-0.5,37755.666666666664,9450.833333333334,0
20000,1,3,2,44,1.0,10218.166666666666,1025.1666666666667,0
200000,1,1,1,53,2.0,143694.5,5466.666666666667,1
280000,2,1,2,39,-0.8333333333333334,2560.0,661.3333333333334,0
100000,2,1,2,27,-2.0,592.5,1259.1666666666667,0
160000,2,2,1,37,-1.1666666666666667,693.6666666666666,1836.3333333333333,0
60000,2,2,2,23,0.0,32973.166666666664,1043.5,0
90000,1,2,2,35,0.0,59119.333333333336,1959.3333333333333,0
360000,1,1,1,43,-0.8333333333333334,9743.333333333334,20102.166666666668,0
150000,1,1,2,27,0.0,79901.83333333333,3973.5,0
50000,2,3,1,22,0.0,13965.666666666666,630.5,0
20000,1,2,1,38,-0.16666666666666666,15536.166666666666,947.5,1
140000,1,1,2,32,-2.0,2279.8333333333335,2167.8333333333335,0
380000,2,1,2,30,-0.8333333333333334,22100.333333333332,7003.166666666667,0
480000,1,1,1,63,0.6666666666666666,460169.1666666667,21828.5,0
50000,2,3,2,22,0.0,34227.666666666664,1145.0,1
60000,2,2,2,26,1.6666666666666667,57006.333333333336,2252.8333333333335,0
70000,2,2,2,24,-1.5,5351.5,4754.833333333333,0
80000,2,2,1,36,-1.0,2977.5,2132.3333333333335,0
350000,1,1,2,52,-1.0,1831.1666666666667,2547.5,0
130000,1,2,2,38,-0.5,113489.66666666667,47961.333333333336,0
360000,1,2,1,35,-1.5,-103.0,0.0,0
